Zone, Enrollment, PwD-Status, PaperCode1, PaperCode2, registrationId1, registrationId1, City-Choice1, City-Choice2, City-Choice3, ChoiceNumber
Zone7, C124P45, true, MA, null, null, null, 56, 49, 11, -1
Zone3, C100X67, true, PH, null, null, null, 18, 27, 62, -1
Zone5, C103Q55, false, BL, BT, null, null, 37, 35, 18, 1
Zone5, C101J83, false, BL, BT, null, null, 37, 40, 35, 1
Zone3, C100W73, true, PH, BT, null, null, 18, 27, 62, -1
Zone5, C100Q95, false, BL, BT, null, null, 37, 35, 40, 1
Zone3, C105D35, true, PH, null, null, null, 18, 27, 21, -1
Zone3, C104R25, true, PH, null, null, null, 27, 18, 57, -1
Zone5, C107X53, false, MA, MS, null, null, 37, 40, 59, 1
Zone3, C108N50, true, MA, null, null, null, 22, 18, 27, -1
Zone4, C117S43, true, MA, null, null, null, 31, 30, 34, -1
Zone5, C112X28, true, MA, null, null, null, 39, 40, 36, -1
Zone3, C103D96, true, PH, null, null, null, 27, 18, 62, -1
Zone5, C109S57, false, BL, BT, null, null, 37, 40, 27, 1
Zone5, C111Q42, false, PH, CY, null, null, 37, 35, 61, 1
Zone5, C116S74, true, GG, null, null, null, 35, 39, 62, -1
Zone5, C102W81, false, MA, CY, null, null, 37, 40, 62, 1
Zone3, C110F71, true, CY, null, null, null, 20, 27, 62, -1
Zone5, C112G36, false, PH, CY, null, null, 37, 40, 61, 1
Zone3, C112C91, true, MA, null, null, null, 27, 18, 20, -1
Zone5, C114C62, false, PH, CY, null, null, 37, 40, 61, 1
Zone4, C114T83, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C115G90, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C123X31, true, CY, null, null, null, 27, 18, 19, 1
Zone4, C120N18, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C115H40, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C118E75, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C107Y56, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C127Q44, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C109K58, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C111B91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C111A80, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C112N28, false, BT, null, null, null, 31, 30, 34, -1
Zone4, C105R19, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C115G79, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C115V42, false, CY, null, null, null, 31, 30, 34, -1
Zone5, C115J72, true, PH, null, null, null, 39, 40, 36, -1
Zone4, C116B60, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C113K75, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C118E67, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C113Q91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C113R13, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C108S85, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C116M49, false, CY, null, null, null, 31, 30, 44, -1
Zone3, C116C10, true, PH, null, null, null, 19, 27, 62, -1
Zone4, C105H45, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C113Q97, false, CY, null, null, null, 31, 30, 44, -1
Zone4, C115Z77, false, BT, null, null, null, 31, 30, 44, -1
Zone4, C105R18, false, GG, null, null, null, 31, 30, 44, -1
Zone4, C116H65, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C116A99, false, GG, null, null, null, 31, 30, 44, -1
Zone5, C114Y57, true, PH, null, null, null, 40, 39, 36, -1
Zone4, C116B91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C111X87, false, GG, null, null, null, 31, 30, 12, -1
Zone4, C113S39, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C116R98, false, CY, null, null, null, 31, 30, 44, -1
