application_id,New Choice,OldChoice
C118V50,20,19
C115H24,20,19
C103N75,20,19
C103N49,20,19
C120S94,20,19
C111E62,20,19
C127N63,20,19
C127N53,20,19
C113H11,21,27
C114M62,21,27
C107A57,21,27
C111Q85,21,27
C112E81,20,27
C113A32,20,27
C100P38,18,27
C103T27,21,27
C117S62,21,27
C111D45,20,27
C110U37,21,27
C100V67,20,27
C104E70,20,27
C112V71,20,27
C113X48,20,27
C106Y33,21,27
C112E85,21,27
C112B50,20,27
C111E90,21,27
C100Q69,20,27
C113J95,20,27
C106X88,21,27
C113F74,20,27
C113P73,20,27
C113N32,20,27
C106Q88,20,27
C100M44,18,27
C112U14,20,27
C112Q19,21,27
C101A50,21,27
C111M47,21,27
C103T38,21,27
C113P69,20,27
C114W98,20,27
C112Q39,20,27
C111P43,18,27
C113T51,20,27
C114N71,21,27
C113A39,21,27
C114J97,21,27
C114P32,21,27
C111C12,18,27
C113Z66,18,27
C109T26,20,27
C117S10,21,27
C114F12,21,27
C110P98,20,27
C113P66,20,27
C104K80,19,27
C111G26,21,27
C112B83,20,27
C117C86,20,27
C102Y93,18,27
C103M53,20,27
C110F47,21,27
C116E68,18,27
C113U78,21,27
C111E49,21,27
C113S35,21,27
C103P80,20,27
C103Y80,21,27
C110X44,20,27
C112P39,20,27
C105B15,18,27
C112K11,20,27
C109K34,20,27
C112C91,20,27
C111X63,21,27
C107D60,20,27
C110U55,21,27
C109T82,21,27
C108S49,18,27
C107X92,21,27
C111D90,20,27
C101Z92,20,27
C108T97,21,27
C102B90,20,27
C111H51,21,27
C113S36,20,27
C111K20,20,27
C116D89,18,27
C111K84,20,27
C120W85,21,27
C109N28,20,27
C111N57,18,27
C111Q79,19,27
C108Q40,20,27
C111D76,20,27
C106R98,19,27
C115E57,20,27
C105Q41,20,27
C103T45,20,27
C100Z58,20,27
C117R72,21,27
C110U89,21,27
C111D27,20,27
C107S88,20,27
C111T41,21,27
C111D43,20,27
C109F33,21,27
C111E97,18,27
C108W53,18,27
C103F86,18,27
C116J52,20,27
C111N58,20,27
C112J60,21,27
C106P24,21,27
C112Z19,21,27
C108S29,21,27
C118C80,20,27
C100R86,20,27
C111F23,21,27
C108A96,20,27
C113F15,20,27
C104F45,20,27
C112K96,21,27
C112M98,21,27
C112E45,20,27
C112C39,20,27
C121X80,20,27
C108V96,18,27
C115S60,20,27
