application_id,NewChoice,Old_Choice
C106V82,18,21
C100Z56,18,21
C113E43,18,27
C117G82,18,27
C101H78,18,27
C112J18,18,27
C118Y37,18,27
C114N51,18,27
C101K36,18,27
C115T39,18,27
C111M85,18,27
C104Z52,18,27
C112Y68,18,27
C111Z71,18,27
C115N74,18,27
C113C18,18,27
C115Q13,18,27
C108A96,18,27
C105R24,18,27
C112Z66,18,27
C108C17,18,27
C105M21,18,27
C100P38,18,27
C113P86,18,27
C108N37,18,27
C109K65,18,27
C115R47,18,27
C111H13,18,27
C103U27,18,27
C110X55,18,27
C118D95,18,27
C101E62,18,27
C106X76,18,27
C100G11,18,27
C107N24,18,27
C116E68,18,27
C116F17,18,27
C103P81,18,27
C108R23,18,27
C113R96,18,27
C120E43,18,27
C117E71,18,27
C113H81,18,27
C112G50,18,27
C109V10,18,27
C103X55,18,27
C105A86,18,27
C101D93,18,27
C101K93,18,27
C104Z90,18,27
C105D89,18,27
C110C36,18,27
C105W84,18,27
C114U58,18,27
C127P67,18,27
C104V57,18,27
C101J91,18,27
C111E95,18,27
C111A39,18,27
C115P96,18,27
C108V96,18,27
C116B10,18,27
C114C92,18,27
C105P44,18,27
C111H15,18,27
C114U43,18,27
C110T57,18,27
C115M54,18,27
C112Y37,18,27
C100B67,18,27
C111D65,18,27
C117G42,18,27
C109Y60,18,27
C115P95,18,27
C103J32,18,27
C112R52,18,27
C108T32,18,27
C118A13,18,27
C100X11,18,27
C116D82,18,27
C109J30,18,27
C116A65,18,27
C116D34,18,27
C105D55,18,27
C104F90,18,27
C116Q24,18,27
C105N89,18,27
C100T38,18,27
C115R62,18,27
C113Z90,18,27
C102M79,18,27
C119Y38,18,27
C116J27,18,27
C115T15,18,27
C106X80,18,27
C112B84,18,27
C121U51,18,27
C102Y93,18,27
C105G51,18,27
C106X86,18,27
C112U14,18,27
C100M44,18,27
C110X70,18,27
C103E77,18,27
C113P73,18,27
C113P69,18,27
C116C18,18,27
C112R54,18,27
C108W38,18,27
C117Y28,18,27
C115N61,18,27
C100B70,18,27
C113A53,18,27
C110Q43,18,27
C103F59,18,27
C109V33,18,27
C112R23,18,27
C101J15,18,27
C114N37,18,27
C113C69,18,27
C102W25,18,27
C117B69,18,27
C110F35,18,27
C113P66,18,27
C102C66,18,27
C110P98,18,27
C116V43,18,27
C103E44,18,27
C106B48,18,27
C100G32,18,27
C100K96,18,27
C104H91,18,27
C113P65,18,27
C113H10,18,27
C104R12,18,27
C100C81,18,27
C104Y46,18,27
C102C89,18,27
C100N82,18,27
C102Y91,18,27
C100K45,18,27
C118P57,18,27
C114H19,18,27
C104C10,18,27
C106X43,18,27
C114N25,18,27
C110Z68,18,27
C116Z28,18,27
C113V49,18,27
C114B90,18,27
C118G78,18,27
C119M83,18,27
C103R20,18,27
C114X54,18,27
C113H39,18,27
C101K33,18,27
C115S91,18,27
C117H83,18,27
C128T77,18,27
C104A87,18,27
C123X31,18,27
C111S85,18,27
C100D63,18,27
C105B15,18,27
C110U18,18,27
C101Z42,18,27
C103B96,18,27
C105R25,18,27
C116P47,18,27
