,,,,,,,,,,,Session1,,Session2,,Session3,,Session4,,Session5,,Session6,,Session7,,Session8,
RowLabels,Capacity withot Buffer,Capacity,ME  ,EC  ,EE  ,CE  ,CS  ,OT1,OT2,OT3,ME1,EC1,ME2,EC2,ME3,OT1,EC3,OT2,CE1,CS1,CE2,CS2,EE1,,EE2,OT3
Pune,6021,6690,12772,8304,2322,4420,7993,1485,1154,1997,3376,2645,5000,795,4397,1485,4864,1154,3011,3011,1410,4983,1161,,1161,1997
Delhi-Greater,10332,11480,18622,13760,10796,10898,9551,3450,3846,4472,5166,5166,5166,5166,8290,3450,3428,3846,5166,5166,5732,4385,5398,,5398,4472
Raipur-Bilaspur,1431,1590,3523,1368,1743,1997,1285,361,302,597,1046,385,716,716,1762,361,268,302,716,716,1282,570,871.5,,871.5,597
Dhanbad,610.2,678,1257,478,762,309,377,433,97,544,505,105,610,,142,433,373,97,305,305,4,72,381,,381,544
Vellore,369,410,1056,720,491,347,383,111,160,101,185,185,185,185,687,111,351,160,185,185,163,199,245.5,,245.5,101
Jorhat-Tezpur,337.5,375,580,380,242,354,315,458,153,143,169,169,169,169,243,458,43,153,169,169,185,146,121,,121,143
Surat,1546.2,1718,3297,1058,1968,1519,1034,243,100,761,876,671,773,773,1648,243,0,100,773,773,746,261,984,,984,761
Saharanpur,0,0,280,111,73,134,137,55,41,98,,,0,0,280,55,111,41,0,0,,,36.5,,36.5,98
Panchkula,0,0,267,206,97,178,215,49,75,83,,,0,0,267,49,206,75,0,0,,,48.5,,48.5,83
Angamaly,0,0,214,325,202,155,155,81,38,30,,,0,0,214,81,325,38,0,0,,,101,,101,30
Vadodara,1480.5,1645,2844,803,1707,966,946,385,180,833,740,740,740,740,1364,385,0,180,740,740,226,206,853.5,,853.5,833
Ranchi,990,1100,1883,905,1005,755,736,364,210,530,495,495,495,495,893,364,0,210,495,495,260,241,502.5,,502.5,530
Villupuram,0,0,238,149,143,89,109,12,4,25,,,0,0,238,12,149,4,0,0,,,71.5,,71.5,25
Ahmednagar,457.2,508,1044,499,174,383,454,111,88,144,229,229,229,229,587,111,42,88,229,229,154,225,87,,87,144
Mehsana,519.3,577,1134,158,499,474,283,57,13,37,260,260,260,260,615,57,0,13,260,260,214,23,249.5,,249.5,37
NaviMumbai,1237.5,1375,2026,1899,669,680,1095,570,256,736,619,619,619,619,789,570,662,256,619,619,61,476,334.5,,334.5,736
Ahmedabad-Gandhinagar,2480.4,2756,4278,1704,1956,1878,2156,722,233,1133,1240,1240,1240,1240,1798,722,0,233,1240,1240,638,916,978,,978,1133
Solan-Shimla,355.5,395,650,357,225,720,325,89,240,72,178,178,178,178,295,89,2,240,178,178,542,147,112.5,,112.5,72
Solapur,873.9,971,1723,1114,378,715,1013,46,84,72,437,437,437,437,849,46,240,84,437,437,278,576,189,,189,72
Satara,495,550,928,525,225,351,338,46,103,117,248,248,248,248,433,46,30,103,248,248,104,91,112.5,,112.5,117
Jammu,414,460,596,819,539,1383,676,210,357,208,207,207,207,207,182,210,405,357,207,207,1176,469,269.5,,269.5,208
Silchar,180,200,215,181,158,198,155,111,105,101,90,90,90,90,35,111,1,105,90,90,108,65,79,,79,101
Aurangabad,1261.8,1402,2312,1419,862,1092,1291,174,305,404,631,631,631,631,1050,174,157,305,631,631,461,660,431,,431,404
Haldwani-Bhimtal,450,500,673,361,349,359,414,179,269,274,225,225,225,225,223,179,0,269,225,225,134,189,174.5,,174.5,274
Rajkot,1089,1210,1803,491,1130,718,727,327,55,387,545,545,545,545,714,327,0,55,545,545,174,183,565,,565,387
