city_name,zone_id,state_id,is_online,is_offline,city_code,is_big_city,is_main_city,city_change_status
Agra ,5,UP,t,f,2,f,t,t
Ahmedabad ,2,GJ,t,f,3,t,t,t
Ahmednagar ,2,MH,t,f,4,f,t,t
Ajmer,3,RJ,t,f,5,f,t,t
Alappuzha ,1,KL,t,f,6,f,t,t
Aligarh ,5,UP,t,f,7,f,t,t
Allahabad ,5,UP,t,f,8,t,t,t
Aluva ,1,KL,t,f,9,f,t,t
Alwar ,3,RJ,t,f,10,f,t,t
Ambala ,8,HR,t,f,11,f,t,t
Amravati ,2,MH,t,f,12,f,t,t
Amritsar ,8,PB,t,f,13,f,t,t
Anand ,2,GJ,t,f,14,f,t,t
Anantapur ,1,AP,t,f,15,f,t,t
Angamaly ,7,KL,t,f,16,f,t,t
Attingal ,1,KL,t,f,18,f,t,t
Aurangabad ,2,MH,t,f,19,f,t,t
Bagalkot ,1,KA,t,f,20,f,t,t
Bahadurgarh ,3,HR,t,f,21,f,t,t
Balasore ,6,OR,t,f,22,f,t,t
Bangalore,1,KA,t,f,23,t,t,t
Bapatla ,7,AP,t,f,24,f,t,t
Bareilly ,5,UP,t,f,25,f,t,t
Bathinda ,8,PB,t,f,26,f,t,t
Belgaum ,1,KA,t,f,27,f,t,t
Bellary ,1,KA,t,f,28,f,t,t
Bhavnagar ,2,GJ,t,f,30,f,t,t
Bhilai ,6,CG,t,f,31,f,t,t
Bhimavaram ,6,AP,t,f,32,f,t,t
Bhopal ,5,MP,t,f,33,t,t,t
Bhubaneswar ,6,OR,t,f,34,t,t,t
Bhuj ,2,GJ,t,f,35,f,t,t
Bidar ,1,KA,t,f,36,f,t,t
Bikaner ,3,RJ,t,f,37,f,t,t
Chengannur ,1,KL,t,f,40,f,t,t
Chittoor ,7,AP,t,f,43,f,t,t
Coimbatore ,7,TN,t,f,44,t,t,t
Cuddalore ,7,TN,t,f,45,f,t,t
Cuttack ,6,OR,t,f,46,f,t,t
Davengere ,1,KA,t,f,47,f,t,t
Dehradun ,8,UK,t,f,48,t,t,t
Delhi-NCR ,3,DL,t,f,49,t,t,t
Dhanbad ,4,JH,t,f,50,f,t,t
Dindigul ,7,TN,t,f,51,f,t,t
Eluru ,6,AP,t,f,53,f,t,t
Ernakulam ,7,KL,t,f,54,t,t,t
Erode ,7,TN,t,f,55,f,t,t
Faridabad ,3,HR,t,f,56,t,t,t
Gandhinagar ,2,GJ,t,f,57,f,t,t
Gangtok ,4,SM,t,f,58,f,t,t
Ghaziabad ,8,UP,t,f,59,t,t,t
Goa ,2,GA,t,f,60,f,t,t
Gudur ,7,AP,t,f,61,f,t,t
Gulbarga ,1,KA,t,f,62,f,t,t
Guntur ,7,AP,t,f,63,f,t,t
Gurgaon ,3,HR,t,f,64,f,t,t
Guwahati ,4,AS,t,f,65,f,t,t
Gwalior ,5,MP,t,f,66,f,t,t
Haldwani-Bhimtal ,8,UK,t,f,67,f,t,t
Hassan ,1,KA,t,f,69,f,t,t
Hisar-Rohtak,3,HR,t,f,70,f,t,t
Hooghly,6,WB,t,f,71,f,t,t
Hubli ,1,KA,t,f,72,f,t,t
Idukki ,1,KL,t,f,74,f,t,t
Imphal ,4,MN,t,f,75,f,t,t
Indore ,3,MP,t,f,76,t,t,t
Jabalpur ,5,MP,t,f,77,f,t,t
Jaipur ,3,RJ,t,f,78,t,t,t
Jalandhar-Phagwara ,8,PB,t,f,79,t,t,t
Jalgaon ,2,MH,t,f,80,f,t,t
Jammu ,3,JK,t,f,81,f,t,t
Jamshedpur ,6,JH,t,f,82,f,t,t
Jodhpur ,3,RJ,t,f,83,f,t,t
Jorhat ,4,AS,t,f,84,f,t,t
Kadapa ,7,AP,t,f,85,f,t,t
Kakinada ,6,AP,t,f,86,f,t,t
Kalyani ,4,WB,t,f,87,f,t,t
Kanjirappally ,1,KL,t,f,88,f,t,t
Kannur ,1,KL,t,f,89,f,t,t
Kanpur ,5,UP,t,f,90,t,t,t
Kanyakumari ,7,TN,t,f,91,f,t,t
Karimnagar ,7,TS,t,f,92,f,t,t
Karnal ,3,HR,t,f,93,f,t,t
Karur ,7,TN,t,f,94,f,t,t
Kasaragod ,1,KL,t,f,95,f,t,t
Khammam ,7,TS,t,f,96,f,t,t
Kharagpur ,6,WB,t,f,97,f,t,t
Kolar ,1,KA,t,f,98,f,t,t
Kolhapur ,2,MH,t,f,99,f,t,t
