Zone ID,Zone,CDAC ID,JAM Code,Name,Add1,Add2,Add3,PinCode,City,State,FN, AN,PwD Y/N
1,IISc,1,101,JSS Academy of Technical Education,"Uttarahalli,",Kengeri Road,Bengaluru,560060,Bengaluru,Karnataka,193,193,Yes
1,IISc,1,102,SJB Institute of Technology,"No 67, BGS Health  and  Education City, ","Uttarahalli Road, Kengeri",Bengaluru,560060,Bengaluru,Karnataka,200,200,Yes
1,IISc,1,103,AMC Engineering College,"18th Kilometer,",Bannerghatta road,Bengaluru,560083,Bengaluru,Karnataka,300,296,No
1,IISc,1,104,ACS College of Engineering,"#201,,  Kambipura,  ","Near RajaRajeswari Medical College & Hospital,,",Mysore Road,560074,Bengaluru,Karnataka,200,200,No
1,IISc,2,105,B V Bhoomaraddi College of Engineering & Technology,"Vidyanagar,",Hubli,,580031,Hubli,Karnataka,260,139,Yes
1,IISc,6,106,P A College of Engineering,"Nadupadav, ,","Montepadav post, Kairangala",Near Mangalore University,574153,Mangalore,Karnataka,158,89,Yes
1,IISc,5,107,Government College of Engineering,"Mangattuparamba, ","Parassinikadavu(P.O),",Kannur,670563,Kannur,Kerala,230,230,Yes
1,IISc,3,108,MES Institute of Technology and Management,"Chathannoor P O,", Kollam,,691572,Kollam,Kerala,168,93,No
1,IISc,4,109,Gurudeva Institute of Science and Technology,"Vennimala, ","Payyapadi P.O., Puthuppally, ",Kottayam,686516,Kottayam,Kerala,120,120,No
1,IISc,4,110,Mangalam College of Engineering,"Vettimukal P.O, ","Mangalam Hills, ",Ettumanoor,686631,Kottayam,Kerala,262,184,Yes
1,IISc,5,111,Farook College,"Near Farook College Post Office, ",Kozhikode,,673632,Kozhikode,Kerala,130,130,Yes
1,IISc,5,112,AWH Engineering College,Kuttikattor P O,Kozhikode,,673008,Kozhikode,Kerala,180,180,Yes
1,IISc,5,113,National institute of Technology,"NITC Campus  PO , ","Kettangal Koduvally Road,",,673601,Kozhikode,Kerala,78,56,No
1,IISc,7,114,Ahalia School Of Engineering & Technology,"Ahalia Health, ","Heritage & Knowledge Village,"," Kozhippara, ",678557,Palakkad,Kerala,87,79,Yes
1,IISc,8,115,IES College of Engineering,"Poovathur parappoor Rd,  ","Chittilappily PO,",,680551,Thrissur,Kerala,126,126,No
1,IISc,8,116,Universal Engineering College,"Vallivattom P.O, ","Konathakunnu  Via, ","Near Mathilakam,",680123,Thrissur,Kerala,140,145,Yes
2,IIT Bombay,10,201,Shree Rayeshwar Institute Of Engineering And Information Technology,"Shivshail, Karai","Shiroda,  North Goa",Ponda,403103,Goa,Goa,38,34,No
2,IIT Bombay,9,202,L. J. Campus - B- Polytechnic Bldg.,L. J. Campus,Between Kataria Motors and Sanand-Sarkhej Circle ,Sarkhej-Gandhinagar Highway,382210,Ahmedabad,Gujarat,210,140,Yes
2,IIT Bombay,9,203,L. J. Campus - C - L.J. Institute of Management Studies(MCA) Bldg.,L. J. Campus,Between Kataria Motors and Sanand-Sarkhej Circle ,Sarkhej-Gandhinagar Highway,382210,Ahmedabad,Gujarat,152,100,No
2,IIT Bombay,17,204,Babaria Institute of Technology,BITS Education Campus,Vadodara-Mumbai NH-8,Varnama,391240,Vadodara,Gujarat,168,123,Yes
2,IIT Bombay,12,205,Tata Consultancy Services Empire Plaza,101 Empire Industrial Estate,Near Gandhi Nagar Bus Stop LBS Marg,Vikhroli (West),400083,Mumbai,Maharashtra,376,425,Yes
2,IIT Bombay,12,206,MCT's Rajiv Gandhi Institute of Technology,Juhu-Versova Link Road,Versova,Andheri (West),400053,Mumbai,Maharashtra,300,300,Yes
2,IIT Bombay,13,207,G.H. Raisoni Polytechnic - A,"B-37-39/1, Shraddha Park",Hingna-Wadi Link Road,MIDC,440028,Nagpur,Maharashtra,323,200,Yes
2,IIT Bombay,13,208,G.H. Raisoni Polytechnic - B,"B-37-39/1, Shraddha Park",Hingna-Wadi Link Road,MIDC,440028,Nagpur,Maharashtra,323,180,No
2,IIT Bombay,15,209,Guru Gobind Singh Polytechnic,Khalsa Complex Guru Gobind Singh Marg,Wadala-Pathardi Road ,Opp. Simens Colony,422009,Nashik,Maharashtra,203,183,Yes
2,IIT Bombay,16,210,Nutan Maharashtra Institute Of Engineering And Technology,Samarth Vidya Sankul,Vishnupuri Talegaon,Dabhade,410507,Pune,Maharashtra,171,184,No
2,IIT Bombay,16,211,Sri Balaji Society- A,55/2-7,Tathawade,Off Mumbai-Bangalore Bypass,411033,Pune,Maharashtra,350,250,Yes
2,IIT Bombay,16,212,Sri Balaji Society- B,55/2-7,Tathawade,Off Mumbai-Bangalore Bypass,411033,Pune,Maharashtra,350,250,Yes
2,IIT Bombay,14,213,Mahatma Gandhi Missions College of Engineering,Near Airport,Hingoli Road,,431605,Nanded,Maharashtra,214,121,No
2,IIT Bombay,11,214,C.M.R. Institute of Technology ,Kandlakoya Village,Medchal Road,Ranga Reddy District,501401,Hyderabad,Telangana,441,355,Yes
3,IIT DELHI,25,301,Online Infra,A-22 1st floor,Vivek vihar Phase-2,,110095,Delhi,Delhi,101,57,Yes
3,IIT DELHI,19,302,B S Anangpuria Educational Institute,Village Alampur ,Ballabgarh-Sohna Road,,121004,Faridabad,Haryana,225,200,Yes
3,IIT DELHI,27,303,Manav Rachna University,Aravali Campus Sector 43  ,Delhi Surajkund Road, Aravli Hills,121004,Faridabad,Haryana,650,160,Yes
3,IIT DELHI,18,304,Greater Noida College of Technology,Plot No. 6B,Knowledge Park II,,201306,Greater Noida,Uttar Pradesh,191,180,Yes
3,IIT DELHI,18,305,IEC Group of Institutions,Plot No.4, Institutional Area,,201306,Greater Noida,Uttar Pradesh,228,200,Yes
3,IIT DELHI,18,306,ITS Engineering College,Plot No. 46,Knowledge  Park -III,,201308,Greater Noida,Uttar Pradesh,360,260,Yes
3,IIT DELHI,18,307,Mangalmay Institute of Engineering Technology,Plot No 8,Knowledge Park - II,,201310,Greater Noida,Uttar Pradesh,250,200,Yes
3,IIT DELHI,18,308,Noida Institute of Engineering & Technology Greater Noida,Plot No.19,Knowledge Park-II Institutional Area,,201306,Greater Noida,Uttar Pradesh,500,300,Yes
