Zone, CityCode, Centre-Code, CentreName, Pwd-Friendly, Session1(Capacity|Allocated|PwD), Session2( Capacity|Allocated|PwD) 
1, 1, 101, 'JSS Academy of Technical Education', true, (193|193|1), (193|193|1)
1, 1, 102, 'SJB Institute of Technology', true, (200|200|0), (200|200|0)
1, 1, 103, 'AMC Engineering College', false, (300|300|0), (296|102|0)
1, 1, 104, 'ACS College of Engineering', false, (200|199|0), (200|0|0)
1, 2, 105, 'B V Bhoomaraddi College of Engineering & Technology', true, (260|260|0), (139|139|1)
1, 3, 108, 'MES Institute of Technology and Management', false, (168|168|0), (93|93|0)
1, 4, 109, 'Gurudeva Institute of Science and Technology', false, (120|120|0), (120|120|0)
1, 4, 110, 'Mangalam College of Engineering', true, (262|262|2), (184|64|1)
1, 5, 107, 'Government College of Engineering', true, (230|230|1), (230|230|0)
1, 5, 111, 'Farook College', true, (130|130|0), (130|130|0)
1, 5, 112, 'AWH Engineering College', true, (180|180|0), (180|5|0)
1, 5, 113, 'National institute of Technology', false, (78|77|0), (56|0|0)
1, 6, 106, 'P A College of Engineering', true, (158|158|1), (89|89|0)
1, 7, 114, 'Ahalia School Of Engineering & Technology', true, (87|87|0), (79|79|0)
1, 8, 115, 'IES College of Engineering', false, (126|126|0), (126|126|0)
1, 8, 116, 'Universal Engineering College', true, (140|140|1), (145|18|0)
2, 10, 201, 'Shree Rayeshwar Institute Of Engineering And Information Technology', false, (38|38|0), (34|34|0)
2, 11, 202, 'Centre-2', true, (442|441|2), (352|352|5)
2, 11, 214, 'C.M.R. Institute of Technology', true, (441|0|0), (351|0|0)
2, 12, 203, 'Centre-3', true, (676|676|3), (722|722|2)
2, 12, 205, 'Tata Consultancy Services Empire Plaza', true, (376|0|0), (421|0|0)
2, 12, 206, 'MCT's Rajiv Gandhi Institute of Technology', true, (300|0|0), (300|0|0)
2, 13, 204, 'Centre-4', true, (646|643|2), (379|378|3)
2, 13, 207, 'G.H. Raisoni Polytechnic - A', true, (323|0|0), (200|0|0)
2, 13, 208, 'G.H. Raisoni Polytechnic - B', false, (323|0|0), (177|0|0)
2, 14, 205, 'Centre-5', true, (214|213|0), (121|121|0)
2, 14, 213, 'Mahatma Gandhi Missions College of Engineering', false, (214|0|0), (121|0|0)
2, 15, 206, 'Centre-6', true, (203|203|4), (183|183|1)
2, 15, 209, 'Guru Gobind Singh Polytechnic', true, (203|0|0), (183|0|0)
2, 16, 207, 'Centre-7', true, (871|871|0), (684|684|3)
2, 16, 210, 'Nutan Maharashtra Institute Of Engineering And Technology', false, (171|0|0), (184|0|0)
2, 16, 211, 'Sri Balaji Society- A', true, (350|0|0), (250|0|0)
2, 16, 212, 'Sri Balaji Society- B', true, (350|0|0), (250|0|0)
2, 17, 208, 'Centre-8', true, (168|168|0), (123|123|1)
2, 17, 204, 'Babaria Institute of Technology', true, (168|0|0), (123|0|0)
2, 9, 209, 'Centre-9', true, (361|361|0), (241|240|0)
2, 9, 202, 'L. J. Campus - B- Polytechnic Bldg.', true, (210|1|0), (140|0|0)
2, 9, 203, 'L. J. Campus - C - L.J. Institute of Management Studies(MCA) Bldg.', false, (152|0|0), (100|0|0)
3, 18, 304, 'Greater Noida College of Technology', false, (191|191|0), (180|180|0)
3, 18, 305, 'IEC Group of Institutions', false, (228|228|0), (200|200|0)
3, 18, 306, 'ITS Engineering College', false, (360|360|0), (260|260|0)
3, 18, 307, 'Mangalmay Institute of Engineering Technology', false, (250|250|0), (200|200|0)
